,text
Ses01F_impro01_F000,Excuse me.
Ses01F_impro01_M000,Do you have your forms?
Ses01F_impro01_F001,Yeah.
Ses01F_impro01_M001,Let me see them.
Ses01F_impro01_F002,Is there a problem?
Ses01F_impro01_M002,Who told you to get in this line?
Ses01F_impro01_M003,Okay. But I didn't tell you to get in this line if you are filling out this particular form.
Ses01F_impro01_F005,Well what's the problem? Let me change it.
Ses01F_impro01_M004,This form is a Z.X.four.
Ses01F_impro01_M005,"You can't-- This is not the line for Z.X.four. If you're going to fill out the Z.X.four, you need to have a different form of ID."
Ses01F_impro01_F006,What? I'm getting an ID. This is why I'm here. My wallet was stolen.
Ses01F_impro01_M006,No. I need another set of ID to prove this is actually you.
Ses01F_impro01_F007,How am I supposed to get an ID without an ID? How does a person get an ID in the first place?
Ses01F_impro01_M007,I don't know. But I need an ID to pass this form along. I can't just send it along without an ID.
Ses01F_impro01_F008,I'm here to get an ID.
Ses01F_impro01_M008,"No. I need another ID, a separate one."
Ses01F_impro01_F009,Like what? Like a birth certificate?
Ses01F_impro01_M009,"A birth certificate, a passport...a student ID; didn't you go to school? Anything?"
Ses01F_impro01_F011,"Yes but my wallet was stolen, I don't have anything. I don't have any credit cards, I don't have my ID. Don't you have things on file here?"
Ses01F_impro01_M010,"Yeah. We keep it on file, but we need an ID to access that file."
Ses01F_impro01_F012,That's out of control.
Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID.
Ses01F_impro01_F013,How long have you been working here?
Ses01F_impro01_F014,"Clearly. You know, do you have like a supervisor or something?"
Ses01F_impro01_M013,Yeah. Do you want to see my supervisor? Huh? Yeah. Do you want to see my supervisor? Fine. I'll be right back.
Ses01F_impro01_F015,That would - I would appreciate that. Yeah.
Ses01F_impro02_F000,Did you get the mail? So you saw my letter?
Ses01F_impro02_F001,Yeah. I know.
Ses01F_impro02_M001,"I don't understand. You've already done so much, I don't know why do you have to go back."
Ses01F_impro02_F002,I don't know. I put in that. request too. They didn't...
Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices."
Ses01F_impro02_F004,"There's people that have given more though, you know?"
Ses01F_impro02_M003,I just don't see how they can make you leave when you have a new baby - we have a new kid.
Ses01F_impro02_F005,I know.
Ses01F_impro02_F006,"There's babies over there, though, that need mothers."
Ses01F_impro02_M005,I don't know how you can be okay with this? I don't know why you're not-- you're fine with it.
Ses01F_impro02_F008,"Just, you know, kicking myself."
Ses01F_impro02_F010,things just aren't what they seem.
Ses01F_impro02_M008,I know.
Ses01F_impro02_M009,I just don't see why it has to be you.
Ses01F_impro02_F012,"If not me then, who?"
Ses01F_impro02_M010,What am I going to do? Huh?
Ses01F_impro02_F013,"You'll videotape everything, yeah?"
Ses01F_impro02_M011,Yeah.
Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?"
Ses01F_impro02_M012,Don't you guys have access to computers over there.
Ses01F_impro02_F015,Last month-- Yeah.
Ses01F_impro02_M013,I just don't know how I'm going to do it without you.
Ses01F_impro02_F016,I have to find sitters.
Ses01F_impro02_M014,I can't raise a baby by myself. How?
Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh? Because there is a day care down the street."
Ses01F_impro02_M015,I know.
Ses01F_impro02_F018,And your mother is close by.
Ses01F_impro02_F019,I'll send you lots of letters.
Ses01F_impro02_F020,And I want lots and lots and lots of pictures.
Ses01F_impro02_M016,It's just not fair.
Ses01F_impro03_M000,So what's up? What's new?
Ses01F_impro03_F000,Well Vegas was awesome.
Ses01F_impro03_M001,Yeah. I heard.
Ses01F_impro03_F001,"And, um, I got married."
Ses01F_impro03_F002,Yeah. In the old town part.
Ses01F_impro03_M003,Who did you marry?
Ses01F_impro03_F004,Um- Yes. It was very romantic.
Ses01F_impro03_F005,It was at the slot machines.
Ses01F_impro03_F006,"Uhuh, uhuh. He won big and he-and he realized that the only thing that would make it better was me as his bride."
Ses01F_impro03_M006,He turned to you and was like...
Ses01F_impro03_F007,Hey. Let's get married and I said okay.
Ses01F_impro03_M007,[LAUGHTER] That's really romantic.
Ses01F_impro03_F008,"Yeah. Well. You know, because he's leaving the next day."
Ses01F_impro03_M008,Yeah.
Ses01F_impro03_F009,But we're going to have a honeymoon cruise.
Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?"
Ses01F_impro03_F010,Oh. I hadn't even thought about that.
Ses01F_impro03_F011,"He's not going to be a citizen, though."
Ses01F_impro03_M011,Yeah. But he'll have like a long visa. Can you go visit then for a long time?
Ses01F_impro03_F012,Oh. Totally.
Ses01F_impro03_M012,"Oh, how are you going to do the long distance thing? So wait, are you going to move there?"
Ses01F_impro03_F013,I guess I'll- I guess I'll have an internet husband.[LAUGHTER]
Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER]
Ses01F_impro03_F014,I have an internet boyfriend. I guess I'll have to juggle the two. Is that cheating? I don't know. Hmm.
Ses01F_impro03_M014,Is that your phone?
Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now"
Ses01F_impro03_M015,He loves you.
Ses01F_impro03_F016,"He likes to keep tabs, you know."
Ses01F_impro03_M016,How much did he win at the slot?
Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars."
Ses01F_impro03_F018,Penny slots. That's what he plays.
Ses01F_impro03_F019,Yeah.
Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much. I don't know.
Ses01F_impro03_F021,Yeah. We played Wheel of Fortune pennies. It's like a giant thing with like-
Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks."
Ses01F_impro03_F022,Fifty bucks. Mmhmm.
Ses01F_impro03_M021,"like, wait, but it's just pennies. You're like, wait a minute I'm on to you."
Ses01F_impro03_F023,Yeah.
Ses01F_impro03_F024,Well so now we're married. We have cat children.
Ses01F_impro03_M022,Awesome.
Ses01F_impro03_M023,[LAUGHTER] Cat babies.
Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet."
Ses01F_impro03_M024,That's fair enough.
Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER]
Ses01F_impro04_M000,"Have you tried, uh, Craig's List?"
Ses01F_impro04_F000,"Uh, what? Craig's List? Oh the internet thing?"
Ses01F_impro04_M001,Yeah.
Ses01F_impro04_F001,I don't know. Isn't that-- that's all like escort services and things like that.
Ses01F_impro04_M002,No. There's regular jobs on there.
Ses01F_impro04_F002,"I don't know. I mean I've been looking for so long that I just figured that-- I mean, I think things like Monster are a lot more reliable than just some random free board."
Ses01F_impro04_M003,Uh huh.
Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.
Ses01F_impro04_M005,He's like a manager for a theatre.
Ses01F_impro04_M006,He's like a house manager. Yeah. It's a good job.
Ses01F_impro04_F005,He just...
Ses01F_impro04_F006,you know what? I heard about that job. I applied for that.
Ses01F_impro04_M007,You did?
Ses01F_impro04_F007,Yeah. I saw a posting at the theatre.
Ses01F_impro04_M008,Yeah.
Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago. Right?
Ses01F_impro04_F009,Yeah.
Ses01F_impro04_M010,Hmm.
Ses01F_impro04_M011,I don't know. He had a really good resume I guess and--
Ses01F_impro04_M012,Yeah. Do you have a resume?
Ses01F_impro04_M013,It's kind of helpful when getting a job.
Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.
Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.
Ses01F_impro04_F014,Yeah.
